#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      9.57e+00      9.32e-02      3.03e-01    1.0e-03
   2000      4.80e+00      1.80e-01      1.55e-01    9.5e-04
   4000      9.07e+00      1.03e-02      3.02e-01    9.0e-04
   6000      2.70e+00      1.89e-02      9.21e-02    8.6e-04
   8000      3.15e+00      3.56e-03      1.10e-01    8.1e-04
  10000      4.29e+00      1.19e-03      1.54e-01    7.7e-04
  12000      2.66e+00      1.47e-02      9.81e-02    7.4e-04
  14000      2.88e+00      7.70e-03      1.09e-01    7.0e-04
  16000      1.94e+00      5.79e-03      7.54e-02    6.6e-04
  18000      1.44e+00      3.75e-03      5.75e-02    6.3e-04
  20000      2.21e+00      4.88e-03      9.03e-02    6.0e-04
  22000      1.52e+00      7.00e-04      6.39e-02    5.7e-04
  24000      1.75e+00      5.94e-03      7.53e-02    5.4e-04
  26000      1.57e+00      1.14e-02      6.93e-02    5.1e-04
  28000      2.37e+00      6.84e-03      1.07e-01    4.9e-04
  30000      1.13e+00      1.54e-02      5.20e-02    4.6e-04
  32000      1.33e-01      7.52e-03      6.15e-03    4.4e-04
  34000      1.43e+00      1.23e-03      7.01e-02    4.2e-04
  36000      1.68e+00      9.11e-03      8.41e-02    4.0e-04
  38000      1.73e-01      2.44e-02      6.87e-03    3.8e-04
  40000      1.46e+00      4.11e-03      7.71e-02    3.6e-04
  42000      1.42e+00      4.91e-02      7.22e-02    3.4e-04
  44000      1.33e+00      4.74e-03      7.36e-02    3.2e-04
  46000      1.20e+00      2.75e-03      6.81e-02    3.1e-04
  48000      2.47e+00      9.80e-03      1.44e-01    2.9e-04
  50000      7.68e-01      1.16e-02      4.55e-02    2.8e-04
  52000      1.95e+00      4.80e-03      1.20e-01    2.6e-04
  54000      9.99e-01      4.39e-03      6.30e-02    2.5e-04
  56000      1.44e+00      7.90e-03      9.31e-02    2.4e-04
  58000      1.01e+00      2.97e-03      6.71e-02    2.3e-04
  60000      9.88e-01      9.00e-03      6.70e-02    2.1e-04
  62000      8.72e-01      1.25e-03      6.10e-02    2.0e-04
  64000      1.00e+00      8.54e-04      7.19e-02    1.9e-04
  66000      1.01e+00      7.00e-04      7.45e-02    1.8e-04
  68000      7.18e-01      1.95e-03      5.42e-02    1.7e-04
  70000      9.86e-01      3.99e-03      7.62e-02    1.7e-04
  72000      8.04e-01      4.48e-03      6.37e-02    1.6e-04
  74000      5.60e-01      2.30e-03      4.56e-02    1.5e-04
  76000      1.33e+00      1.11e-02      1.11e-01    1.4e-04
  78000      7.66e-01      1.33e-03      6.57e-02    1.4e-04
  80000      4.92e-01      2.38e-04      4.33e-02    1.3e-04
  82000      8.73e-01      9.15e-03      7.82e-02    1.2e-04
  84000      5.71e-01      7.81e-03      5.22e-02    1.2e-04
  86000      6.90e-01      2.04e-03      6.54e-02    1.1e-04
  88000      6.75e-01      2.09e-02      6.14e-02    1.0e-04
  90000      6.85e-01      9.17e-03      6.75e-02    9.9e-05
  92000      5.24e-01      4.50e-03      5.33e-02    9.4e-05
  94000      8.72e-01      5.23e-03      9.13e-02    9.0e-05
  96000      7.91e-01      2.79e-03      8.52e-02    8.5e-05
  98000      8.26e-01      8.17e-05      9.12e-02    8.1e-05
 100000      5.47e-01      2.35e-03      6.19e-02    7.7e-05
 102000      4.85e-01      5.04e-03      5.59e-02    7.3e-05
 104000      4.50e-01      1.67e-04      5.37e-02    6.9e-05
 106000      5.72e-01      3.88e-03      6.97e-02    6.6e-05
 108000      2.60e-01      5.74e-03      3.15e-02    6.3e-05
 110000      4.31e-01      2.23e-03      5.53e-02    6.0e-05
 112000      4.13e-01      1.01e-02      5.22e-02    5.7e-05
 114000      2.76e-01      6.88e-04      3.73e-02    5.4e-05
 116000      4.54e-01      9.66e-04      6.30e-02    5.1e-05
 118000      4.24e-01      1.62e-03      6.02e-02    4.9e-05
 120000      8.49e-01      2.08e-04      1.24e-01    4.6e-05
 122000      4.33e-01      4.26e-03      6.43e-02    4.4e-05
 124000      2.50e-01      4.44e-03      3.74e-02    4.2e-05
 126000      5.90e-01      2.59e-03      9.26e-02    4.0e-05
 128000      2.86e-01      1.87e-03      4.59e-02    3.8e-05
 130000      5.63e-02      7.65e-04      9.28e-03    3.6e-05
 132000      2.43e-01      1.52e-03      4.10e-02    3.4e-05
 134000      6.20e-01      7.08e-04      1.08e-01    3.2e-05
 136000      3.91e-01      2.15e-03      6.94e-02    3.1e-05
 138000      3.01e-01      6.15e-03      5.33e-02    2.9e-05
 140000      1.77e-01      2.66e-03      3.27e-02    2.8e-05
 142000      1.99e-01      1.40e-03      3.81e-02    2.6e-05
 144000      3.03e-01      1.00e-03      5.96e-02    2.5e-05
 146000      2.67e-01      2.63e-03      5.34e-02    2.4e-05
 148000      3.27e-01      2.93e-03      6.71e-02    2.2e-05
 150000      4.54e-01      1.70e-03      9.60e-02    2.1e-05
 152000      1.98e-01      2.96e-03      4.21e-02    2.0e-05
 154000      2.12e-01      1.66e-03      4.68e-02    1.9e-05
 156000      3.29e-01      5.75e-04      7.49e-02    1.8e-05
 158000      3.76e-01      2.38e-03      8.73e-02    1.7e-05
 160000      1.46e-01      9.65e-04      3.48e-02    1.7e-05
 162000      2.49e-01      2.24e-03      6.05e-02    1.6e-05
 164000      1.90e-01      2.84e-03      4.68e-02    1.5e-05
 166000      2.78e-01      6.70e-04      7.14e-02    1.4e-05
 168000      2.66e-02      1.49e-04      7.01e-03    1.3e-05
 170000      2.21e-02      5.26e-04      5.91e-03    1.3e-05
 172000      1.66e-01      4.90e-04      4.58e-02    1.2e-05
 174000      2.57e-01      3.79e-04      7.26e-02    1.2e-05
 176000      1.88e-01      2.62e-03      5.36e-02    1.1e-05
 178000      1.37e-01      5.01e-04      4.06e-02    1.0e-05
 180000      1.46e-01      2.12e-03      4.36e-02    9.9e-06
 182000      1.21e-01      7.77e-04      3.74e-02    9.4e-06
 184000      1.16e-01      2.75e-04      3.67e-02    8.9e-06
 186000      2.85e-01      2.18e-03      9.22e-02    8.5e-06
 188000      3.12e-01      2.18e-03      1.03e-01    8.1e-06
 190000      1.90e-01      1.35e-03      6.43e-02    7.7e-06
 192000      1.91e-01      2.18e-03      6.57e-02    7.3e-06
 194000      1.12e-01      1.16e-05      3.97e-02    6.9e-06
 196000      1.21e-01      1.31e-03      4.36e-02    6.6e-06
 198000      1.12e-01      5.69e-04      4.15e-02    6.2e-06
 200000      1.10e-01      8.20e-04      4.17e-02    5.9e-06
 202000      1.09e-01      2.01e-03      4.12e-02    5.6e-06
 204000      1.49e-01      7.82e-04      5.91e-02    5.3e-06
 206000      2.05e-01      2.82e-03      8.18e-02    5.1e-06
 208000      1.10e-01      4.48e-04      4.56e-02    4.8e-06
 210000      1.89e-01      3.00e-04      7.99e-02    4.6e-06
 212000      2.28e-01      1.77e-03      9.82e-02    4.4e-06
 214000      1.30e-01      1.10e-03      5.72e-02    4.1e-06
 216000      1.33e-01      1.98e-05      6.00e-02    3.9e-06
 218000      1.21e-01      4.48e-04      5.55e-02    3.7e-06
 220000      7.98e-02      2.76e-04      3.74e-02    3.5e-06
 222000      1.17e-01      1.59e-03      5.54e-02    3.4e-06
 224000      1.05e-01      8.10e-05      5.13e-02    3.2e-06
 226000      1.00e-01      1.87e-03      4.85e-02    3.0e-06
 228000      1.52e-01      7.69e-04      7.71e-02    2.9e-06
 230000      8.49e-02      3.09e-04      4.39e-02    2.7e-06
 232000      9.45e-02      7.75e-04      4.95e-02    2.6e-06
 234000      1.49e-01      2.43e-03      7.83e-02    2.5e-06
 236000      1.16e-01      7.31e-05      6.31e-02    2.4e-06
 238000      9.13e-02      2.23e-03      4.85e-02    2.2e-06
 240000      8.48e-02      2.07e-03      4.58e-02    2.1e-06
 242000      2.02e-01      1.63e-03      1.15e-01    2.0e-06
 244000      1.15e-01      1.27e-03      6.70e-02    1.9e-06
 246000      7.74e-02      1.54e-03      4.47e-02    1.8e-06
 248000      8.83e-02      6.18e-04      5.33e-02    1.7e-06
 250000      1.29e-01      9.37e-04      7.93e-02    1.6e-06
 252000      1.48e-01      1.08e-03      9.20e-02    1.6e-06
 254000      4.97e-02      2.91e-04      3.15e-02    1.5e-06
 256000      9.56e-02      8.32e-04      6.13e-02    1.4e-06
 258000      9.88e-03      6.47e-04      6.01e-03    1.3e-06
 260000      1.45e-01      1.16e-04      9.63e-02    1.3e-06
 262000      1.93e-01      9.05e-03      1.06e-01    1.2e-06
 264000      9.33e-02      4.11e-04      6.36e-02    1.1e-06
 266000      5.22e-02      6.08e-04      3.57e-02    1.1e-06
 268000      6.02e-02      1.07e-03      4.12e-02    1.0e-06
 270000      8.25e-02      6.66e-05      5.86e-02    9.8e-07
 272000      5.24e-02      1.13e-04      3.77e-02    9.3e-07
 274000      7.72e-03      3.85e-04      5.39e-03    8.9e-07
 276000      1.12e-01      4.68e-04      8.21e-02    8.4e-07
 278000      7.01e-02      1.71e-03      4.98e-02    8.0e-07
 280000      9.46e-02      6.28e-04      7.11e-02    7.6e-07
 282000      5.60e-02      4.09e-04      4.25e-02    7.2e-07
 284000      5.02e-02      1.16e-03      3.71e-02    6.9e-07
 286000      1.06e-01      1.29e-03      8.16e-02    6.5e-07
 288000      9.11e-02      2.68e-03      6.69e-02    6.2e-07
 290000      6.92e-02      8.23e-04      5.44e-02    5.9e-07
 292000      5.72e-02      6.50e-04      4.54e-02    5.6e-07
 294000      6.55e-02      3.01e-04      5.29e-02    5.3e-07
 296000      5.84e-02      8.39e-04      4.68e-02    5.1e-07
 298000      6.77e-02      3.81e-04      5.55e-02    4.8e-07
 300000      9.69e-02      1.50e-03      7.88e-02    4.6e-07
 302000      1.29e-01      7.08e-04      1.08e-01    4.3e-07
 304000      1.04e-01      1.49e-03      8.64e-02    4.1e-07
 306000      7.65e-02      4.93e-04      6.47e-02    3.9e-07
 308000      5.77e-02      1.04e-03      4.81e-02    3.7e-07
 310000      9.56e-02      1.29e-03      8.11e-02    3.5e-07
 312000      6.03e-02      8.04e-04      5.15e-02    3.4e-07
 314000      1.18e-01      9.13e-04      1.02e-01    3.2e-07
 316000      1.22e-01      1.51e-03      1.06e-01    3.0e-07
 318000      1.06e-01      4.18e-05      9.31e-02    2.9e-07
 320000      6.74e-02      1.42e-03      5.77e-02    2.7e-07
 322000      8.11e-02      2.38e-03      6.75e-02    2.6e-07
 324000      5.75e-02      2.51e-04      5.14e-02    2.5e-07
 326000      7.35e-02      1.82e-03      6.31e-02    2.3e-07
 328000      6.26e-02      1.49e-04      5.66e-02    2.2e-07
 330000      6.23e-02      8.37e-04      5.59e-02    2.1e-07
 332000      4.72e-02      2.96e-04      4.30e-02    2.0e-07
 334000      3.87e-02      1.51e-04      3.55e-02    1.9e-07
 336000      6.50e-02      1.30e-03      5.80e-02    1.8e-07
 338000      4.03e-02      4.67e-04      3.69e-02    1.7e-07
 340000      8.32e-02      1.20e-04      7.71e-02    1.6e-07
 342000      5.40e-02      6.11e-04      4.98e-02    1.6e-07
 344000      4.19e-02      6.72e-05      3.91e-02    1.5e-07
 346000      6.46e-02      1.69e-03      5.74e-02    1.4e-07
 348000      6.22e-02      5.45e-04      5.81e-02    1.3e-07
 350000      8.46e-02      8.55e-04      7.90e-02    1.3e-07
 352000      3.88e-02      4.67e-04      3.63e-02    1.2e-07
 354000      4.02e-02      1.35e-05      3.81e-02    1.1e-07
 356000      8.32e-02      7.77e-04      7.85e-02    1.1e-07
 358000      4.57e-02      1.13e-03      4.15e-02    1.0e-07
 360000      7.69e-02      1.34e-03      7.17e-02    9.8e-08
 362000      9.86e-02      1.06e-03      9.32e-02    9.3e-08
 364000      4.22e-02      1.10e-03      3.84e-02    8.8e-08
 366000      6.34e-02      1.52e-03      5.83e-02    8.4e-08
 368000      4.19e-02      3.57e-04      4.01e-02    8.0e-08
 370000      5.39e-02      5.56e-04      5.16e-02    7.6e-08
 372000      7.15e-02      2.20e-03      6.40e-02    7.2e-08
 374000      3.36e-02      4.31e-04      3.21e-02    6.8e-08
 376000      7.18e-02      7.00e-04      6.91e-02    6.5e-08
 378000      7.36e-02      1.43e-06      7.15e-02    6.2e-08
 380000      6.35e-02      1.18e-03      6.01e-02    5.9e-08
 382000      5.44e-02      5.47e-04      5.25e-02    5.6e-08
 384000      7.45e-02      3.51e-04      7.25e-02    5.3e-08
 386000      4.95e-02      1.88e-03      4.28e-02    5.0e-08
 388000      8.73e-02      8.00e-04      8.47e-02    4.8e-08
 390000      7.96e-02      8.01e-04      7.71e-02    4.5e-08
 392000      7.08e-02      4.10e-04      6.91e-02    4.3e-08
 394000      4.89e-02      7.10e-04      4.72e-02    4.1e-08
 396000      7.25e-02      2.18e-05      7.11e-02    3.9e-08
 398000      5.32e-02      9.32e-05      5.22e-02    3.7e-08
 400000      1.14e-01      1.32e-03      1.11e-01    3.5e-08
