 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.962260  -11412.962260        -2.1808         0.0000           0.40      -0.000268
     1       0.000000  -11412.958451  -11412.958451        -3.5464        -0.0388           0.40      -0.001033
     2       0.142943  -11412.958451  -11412.813979        -3.2849        -0.0388           0.40      -0.001033
     3       0.142943  -11412.958451  -11412.813979        -1.7959        -0.0388           0.40      -0.001033
     4       0.142943  -11412.959146  -11412.816203        -3.5098        -0.0388           0.40       0.002978
     5       0.142943  -11412.960887  -11412.817944        -2.9323        -0.0231           0.40       0.003280
     6       0.142943  -11412.960887  -11412.817944        -2.4605        -0.0231           0.40       0.003280
     7       0.142943  -11412.956717  -11412.813774        -4.2011        -0.0571           0.40       0.002659
     8       0.154799  -11412.962356  -11412.807556        -3.8437        -0.0571           0.40       0.001483
     9       0.150505  -11412.952187  -11412.801682        -4.0201        -0.0571           0.40      -0.012400
    10       0.152265  -11412.952187  -11412.803925        -3.9775        -0.0571           0.40      -0.012400
    11       0.158026  -11412.952187  -11412.789580        -3.8585        -0.0571           0.40      -0.012400
    12       0.158026  -11412.952979  -11412.794953        -3.7981        -0.0512           0.40      -0.012306
    13       0.158026  -11412.953798  -11412.795772        -3.5546        -0.0448           0.40      -0.012198
    14       0.158026  -11412.953798  -11412.795772        -3.5727        -0.0448           0.40       0.002978
    15       0.158026  -11412.953798  -11412.795772        -1.2604        -0.0448           0.40      -0.012198
    16       0.155361  -11412.956255  -11412.800894        -3.4785        -0.0448           0.40       0.000373
    17       0.155361  -11412.956255  -11412.800894        -3.6419        -0.0448           0.40       0.002978
    18       0.155361  -11412.956255  -11412.800894        -1.3092        -0.0448           0.40      -0.012198
    19       0.166880  -11412.956255  -11412.797119        -3.6714        -0.0448           0.40       0.000373
    20       0.154064  -11412.956255  -11412.797333        -3.5968        -0.0448           0.40       0.000373
    21       0.154064  -11412.956255  -11412.797333        -3.5530        -0.0448           0.40       0.002978
    22       0.160210  -11412.956255  -11412.806555        -3.4474        -0.0448           0.40       0.000373
    23       0.133365  -11412.958514  -11412.825148        -3.5758        -0.0448           0.40      -0.012563
    24       0.133365  -11412.958032  -11412.824666        -3.5723        -0.0448           0.40      -0.015317
    25       0.124515  -11412.951036  -11412.826522        -3.7520        -0.0448           0.40      -0.005065
    26       0.124515  -11412.951036  -11412.826522        -3.6366        -0.0448           0.40      -0.015317
    27       0.124515  -11412.950610  -11412.826095        -3.7547        -0.0448           0.40      -0.003870
    28       0.124515  -11412.950610  -11412.826095        -3.7578        -0.0448           0.40      -0.003870
    29       0.144716  -11412.947619  -11412.802903        -3.6094        -0.0448           0.40      -0.007975
    30       0.144716  -11412.946509  -11412.801793        -3.9323        -0.0533           0.40      -0.008137
    31       0.144716  -11412.946509  -11412.801793        -6.1177        -0.0533           0.40      -0.008137
    32       0.176155  -11412.949877  -11412.773722        -3.7153        -0.0533           0.40       0.005110
    33       0.134798  -11412.951262  -11412.816463        -3.5733        -0.0533           0.40       0.006326
    34       0.134798  -11412.947381  -11412.812583        -4.6191        -0.0808           0.40       0.005797
    35       0.155393  -11412.947381  -11412.794450        -4.5666        -0.0808           0.40       0.005797
    36       0.146707  -11412.956912  -11412.810205        -4.5931        -0.0808           0.40       0.000565
    37       0.159145  -11412.956912  -11412.791845        -4.5084        -0.0808           0.40       0.000565
    38       0.149966  -11412.956912  -11412.800730        -4.6560        -0.0808           0.40       0.000565
    39       0.149966  -11412.956912  -11412.800730        -4.5413        -0.0808           0.40      -0.003870
    40       0.146566  -11412.956912  -11412.802032        -4.4736        -0.0808           0.40       0.000565
    41       0.147884  -11412.955301  -11412.807416        -4.5670        -0.0808           0.40      -0.003945
    42       0.137105  -11412.940817  -11412.803712        -4.7299        -0.0808           0.40      -0.016114
    43       0.137105  -11412.946414  -11412.809309        -3.3092        -0.0405           0.40      -0.015426
    44       0.137105  -11412.946414  -11412.809309        -5.7030        -0.0405           0.40      -0.015426
    45       0.137105  -11412.944324  -11412.807219        -3.9132        -0.0573           0.40      -0.015739
    46       0.143827  -11412.945659  -11412.801832        -3.7121        -0.0573           0.40      -0.004196
    47       0.146091  -11412.946465  -11412.800374        -3.7128        -0.0573           0.40      -0.001132
    48       0.146091  -11412.945105  -11412.799014        -4.0597        -0.0674           0.40      -0.001323
    49       0.146091  -11412.937099  -11412.791008        -5.4920        -0.1157           0.40      -0.002067
    50       0.146091  -11412.944008  -11412.797917        -4.3136        -0.0750           0.40      -0.001459
    51       0.146091  -11412.944008  -11412.797917        -4.9310        -0.0750           0.40      -0.001459
    52       0.157714  -11412.944008  -11412.789933        -4.3637        -0.0750           0.40      -0.001459
    53       0.157714  -11412.944008  -11412.789933        -4.2770        -0.0750           0.40      -0.003870
    54       0.157714  -11412.944008  -11412.789933        -4.4797        -0.0750           0.40      -0.003870
    55       0.151123  -11412.939508  -11412.788385        -4.0667        -0.0750           0.40      -0.007529
    56       0.187010  -11412.954173  -11412.767164        -4.1008        -0.0750           0.40      -0.008728
    57       0.187010  -11412.954173  -11412.767164        -5.9150        -0.0750           0.40      -0.001459
    58       0.187010  -11412.954173  -11412.767164        -4.1015        -0.0750           0.40      -0.003870
    59       0.187010  -11412.959818  -11412.772808        -2.3435        -0.0243           0.40      -0.007759
    60       0.155923  -11412.959818  -11412.797503        -2.2666        -0.0243           0.40      -0.007759
    61       0.161653  -11412.956105  -11412.794453        -2.4827        -0.0243           0.40      -0.013188
    62       0.125555  -11412.946398  -11412.820843        -2.5987        -0.0243           0.40      -0.010883
    63       0.125555  -11412.946398  -11412.820843        -0.3853        -0.0243           0.40      -0.007759
    64       0.125555  -11412.946398  -11412.820843        -2.7584        -0.0243           0.40      -0.003870
    65       0.125555  -11412.946497  -11412.820942        -2.5599        -0.0231           0.40      -0.010861
    66       0.125555  -11412.946157  -11412.820602        -2.5588        -0.0231           0.40      -0.010360
    67       0.125555  -11412.945970  -11412.820415        -2.6314        -0.0252           0.40      -0.010401
    68       0.125555  -11412.945970  -11412.820415        -0.5288        -0.0252           0.40      -0.010401
    69       0.159089  -11412.945970  -11412.790043        -2.4872        -0.0252           0.40      -0.010401
