 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.955896  -11412.955896        -3.7961         0.0000          -1.20      -0.000065
     1       0.000000  -11412.955896  -11412.955896        -5.3926         0.0000          -1.20      -0.000065
     2       0.000000  -11412.951410  -11412.951410        -4.7307        -0.0306          -1.20      -0.000277
     3       0.000000  -11412.953914  -11412.953914        -4.2136        -0.0144          -1.20      -0.000167
     4       0.146739  -11412.953914  -11412.792094        -4.3675        -0.0144          -1.20      -0.000167
     5       0.146739  -11412.953914  -11412.792094        -4.4281        -0.0144          -1.20      -0.000065
     6       0.142067  -11412.953914  -11412.805792        -4.3602        -0.0144          -1.20      -0.000167
     7       0.142067  -11412.955569  -11412.813502        -3.8654        -0.0025          -1.20      -0.000083
     8       0.142067  -11412.953765  -11412.811698        -4.2447        -0.0154          -1.20      -0.000174
     9       0.142067  -11412.958729  -11412.816662        -3.1824         0.0236          -1.20       0.000122
    10       0.136956  -11412.954558  -11412.817601        -3.5317         0.0236          -1.20      -0.002037
    11       0.135166  -11412.954558  -11412.804034        -3.3068         0.0236          -1.20      -0.002037
    12       0.135166  -11412.954558  -11412.804034        -3.5184         0.0236          -1.20      -0.000065
    13       0.154569  -11412.954558  -11412.797006        -3.4810         0.0236          -1.20      -0.002037
    14       0.142418  -11412.954558  -11412.806250        -3.2859         0.0236          -1.20      -0.002037
    15       0.167251  -11412.954558  -11412.777925        -3.2291         0.0236          -1.20      -0.002037
    16       0.167251  -11412.954563  -11412.787313        -3.5319         0.0236          -1.20      -0.001419
    17       0.167251  -11412.954563  -11412.787313        -3.1192         0.0236          -1.20       0.000107
    18       0.167251  -11412.954563  -11412.787313        -2.6933         0.0236          -1.20       0.000107
    19       0.158915  -11412.954563  -11412.804671        -3.1561         0.0236          -1.20      -0.001419
    20       0.139595  -11412.947514  -11412.807920        -3.2004         0.0236          -1.20      -0.007500
    21       0.167750  -11412.940443  -11412.772693        -3.3924         0.0236          -1.20      -0.011708
    22       0.159754  -11412.960470  -11412.800716        -3.0225         0.0236          -1.20      -0.004899
    23       0.149703  -11412.956459  -11412.806756        -3.2213         0.0236          -1.20       0.000108
    24       0.139395  -11412.956459  -11412.814669        -3.1101         0.0236          -1.20       0.000108
    25       0.139395  -11412.957970  -11412.818575        -2.8787         0.0380          -1.20       0.000262
    26       0.139395  -11412.957970  -11412.818575        -1.9888         0.0380          -1.20       0.000262
    27       0.139395  -11412.953882  -11412.814487        -3.7714         0.0022          -1.20      -0.000096
    28       0.138878  -11412.953882  -11412.798514        -3.8214         0.0022          -1.20      -0.000096
    29       0.138878  -11412.953882  -11412.798514        -5.2762         0.0022          -1.20      -0.000096
    30       0.138878  -11412.953882  -11412.798514        -2.9938         0.0022          -1.20      -0.000096
    31       0.136291  -11412.949565  -11412.813274        -3.9598         0.0022          -1.20      -0.001052
    32       0.136291  -11412.949565  -11412.813274        -3.0254         0.0022          -1.20      -0.000096
    33       0.136291  -11412.949463  -11412.813172        -3.9763         0.0022          -1.20      -0.003243
    34       0.136291  -11412.949463  -11412.813172        -5.6771         0.0022          -1.20      -0.000057
    35       0.162284  -11412.949463  -11412.780027        -3.7524         0.0022          -1.20      -0.003243
    36       0.162284  -11412.949463  -11412.780027        -6.0619         0.0022          -1.20      -0.000057
    37       0.158632  -11412.949463  -11412.791426        -4.0480         0.0022          -1.20      -0.003243
    38       0.138706  -11412.949463  -11412.795550        -3.6997         0.0022          -1.20      -0.003243
    39       0.138706  -11412.949463  -11412.795550        -3.0826         0.0022          -1.20      -0.000057
    40       0.138706  -11412.949463  -11412.795550        -3.9466         0.0022          -1.20      -0.003243
    41       0.156474  -11412.949463  -11412.788897        -3.9841         0.0022          -1.20      -0.003243
    42       0.146309  -11412.933421  -11412.787112        -3.8891         0.0022          -1.20      -0.000336
    43       0.146309  -11412.933421  -11412.787112        -6.1346         0.0022          -1.20      -0.000057
    44       0.155688  -11412.933421  -11412.778131        -3.9263         0.0022          -1.20      -0.000336
    45       0.155688  -11412.936079  -11412.780391        -3.3294         0.0236          -1.20      -0.000131
    46       0.155688  -11412.935331  -11412.779644        -3.3336         0.0236          -1.20      -0.005604
    47       0.155688  -11412.935331  -11412.779644        -2.7927         0.0236          -1.20       0.000092
    48       0.155688  -11412.935331  -11412.779644        -1.6787         0.0236          -1.20       0.000092
    49       0.155688  -11412.928169  -11412.772481        -4.7957        -0.0280          -1.20      -0.006077
    50       0.158833  -11412.933766  -11412.774933        -4.8233        -0.0280          -1.20      -0.009521
    51       0.160533  -11412.942626  -11412.782093        -4.7895        -0.0280          -1.20      -0.004554
    52       0.160533  -11412.951934  -11412.791401        -2.8591         0.0437          -1.20      -0.003955
    53       0.171452  -11412.951934  -11412.775179        -2.5998         0.0437          -1.20      -0.003955
    54       0.143289  -11412.953207  -11412.809918        -2.5906         0.0437          -1.20       0.019051
    55       0.143289  -11412.949060  -11412.805771        -3.5788         0.0046          -1.20       0.018631
    56       0.144944  -11412.943430  -11412.798486        -3.5896         0.0046          -1.20       0.009564
    57       0.149898  -11412.945917  -11412.796019        -3.6377         0.0046          -1.20       0.006955
    58       0.146802  -11412.945917  -11412.807645        -3.7251         0.0046          -1.20       0.006955
    59       0.146802  -11412.935794  -11412.788992        -5.6991        -0.0591          -1.20       0.006559
    60       0.148944  -11412.937685  -11412.788741        -5.4978        -0.0591          -1.20      -0.011311
    61       0.148944  -11412.937773  -11412.788829        -5.5131        -0.0591          -1.20      -0.002104
    62       0.148944  -11412.938944  -11412.790000        -5.2960        -0.0528          -1.20      -0.002083
    63       0.159298  -11412.936853  -11412.777555        -5.2533        -0.0528          -1.20       0.002845
    64       0.139181  -11412.942390  -11412.803209        -5.0152        -0.0528          -1.20       0.009958
    65       0.148197  -11412.944955  -11412.796758        -5.0184        -0.0528          -1.20       0.003792
    66       0.148197  -11412.943974  -11412.795777        -5.2125        -0.0583          -1.20       0.003766
    67       0.148197  -11412.947751  -11412.799554        -4.4378        -0.0356          -1.20       0.003884
    68       0.148197  -11412.954468  -11412.806271        -2.9472         0.0178          -1.20       0.004269
    69       0.148197  -11412.954468  -11412.806271        -2.2770         0.0178          -1.20       0.004269
    70       0.148197  -11412.954468  -11412.806271        -2.6711         0.0178          -1.20       0.004269
    71       0.148197  -11412.948395  -11412.800198        -4.2996        -0.0313          -1.20       0.003909
    72       0.129615  -11412.948876  -11412.819261        -4.3636        -0.0313          -1.20      -0.002824
    73       0.152428  -11412.948876  -11412.780980        -4.2596        -0.0313          -1.20      -0.002824
    74       0.152466  -11412.948876  -11412.793098        -4.4279        -0.0313          -1.20      -0.002824
    75       0.156677  -11412.945882  -11412.789205        -4.5492        -0.0313          -1.20       0.000484
    76       0.156677  -11412.939135  -11412.782457        -5.8140        -0.0692          -1.20       0.000298
    77       0.177334  -11412.939135  -11412.757720        -5.8452        -0.0692          -1.20       0.000298
    78       0.150720  -11412.939135  -11412.793196        -5.7073        -0.0692          -1.20       0.000298
    79       0.150720  -11412.944195  -11412.793475        -4.8872        -0.0417          -1.20       0.000422
    80       0.150720  -11412.944195  -11412.793475        -3.1143        -0.0417          -1.20       0.000422
    81       0.154565  -11412.944195  -11412.794361        -4.8457        -0.0417          -1.20       0.000422
    82       0.144690  -11412.943624  -11412.798935        -4.8454        -0.0417          -1.20      -0.000822
    83       0.144690  -11412.952485  -11412.807796        -3.0052         0.0247          -1.20      -0.000334
    84       0.161852  -11412.952485  -11412.782890        -2.9103         0.0247          -1.20      -0.000334
    85       0.161852  -11412.952485  -11412.782890        -3.0196         0.0247          -1.20      -0.002104
    86       0.139947  -11412.952485  -11412.810752        -3.1763         0.0247          -1.20      -0.000334
    87       0.139947  -11412.952485  -11412.810752        -2.6440         0.0247          -1.20      -0.000334
    88       0.139947  -11412.952485  -11412.810752        -2.9498         0.0247          -1.20      -0.000334
    89       0.139947  -11412.952485  -11412.810752        -3.0072         0.0247          -1.20      -0.002104
    90       0.139947  -11412.942983  -11412.803036        -4.9673        -0.0455          -1.20      -0.000839
    91       0.151954  -11412.953918  -11412.801963        -5.0588        -0.0455          -1.20       0.010442
    92       0.151954  -11412.953918  -11412.801963        -5.0012        -0.0455          -1.20      -0.002104
